ticker,name,short_name,aliases,industry,market
1594,日高工程實業股份有限公司,日高,日高工程實業股份有限公司|日高|JUKAO,電機機械,上市
1595,川寶科技股份有限公司,川寶,川寶科技股份有限公司|川寶|CBT,半導體業,上櫃
1597,直得科技股份有限公司,直得,直得科技股份有限公司|直得|cpc,電機機械,上市
1598,岱宇國際股份有限公司,岱宇,岱宇國際股份有限公司|岱宇|Dyaco,運動休閒,上市
1599,宏佳騰動力科技股份有限公司,宏佳騰,宏佳騰動力科技股份有限公司|宏佳騰|AEON,電機機械,上櫃
1603,中華電線電纜股份有限公司,華電,中華電線電纜股份有限公司|華電|CWCO,電器電纜,上市
1604,聲寶股份有限公司,聲寶,聲寶股份有限公司|聲寶|SAMPO,電器電纜,上市
1605,華新麗華股份有限公司,華新,華新麗華股份有限公司|華新|WALSIN,電器電纜,上市
1608,華榮電線電纜股份有限公司,華榮,華榮電線電纜股份有限公司|華榮|HE,電器電纜,上市
1609,大亞電線電纜股份有限公司,大亞,大亞電線電纜股份有限公司|大亞|TA YA,電器電纜,上市
1611,中國電器股份有限公司,中電,中國電器股份有限公司|中電|CE,電器電纜,上市
1612,宏泰電工股份有限公司,宏泰,宏泰電工股份有限公司|宏泰|HONG TAI,電器電纜,上市
1614,台灣三洋電機股份有限公司,三洋電,台灣三洋電機股份有限公司|三洋電|Taiwan Sanyo,電器電纜,上市
1615,大山電線電纜股份有限公司,大山,大山電線電纜股份有限公司|大山|Dah  San,電器電纜,上市
1616,億泰電線電纜股份有限公司,億泰,億泰電線電纜股份有限公司|億泰|EVERTOP,電器電纜,上市
1617,榮星電線工業股份有限公司,榮星,榮星電線工業股份有限公司|榮星|JSW,電器電纜,上市
1618,合機電線電纜股份有限公司,合機,合機電線電纜股份有限公司|合機|HK,電器電纜,上市
1623,大東電業廠股份有限公司,大東電,大東電業廠股份有限公司|大東電|TEWC,電器電纜,上市
1626,艾美特(開曼)國際有限公司,艾美特-KY,艾美特(開曼)國際有限公司|艾美特-KY|AIRMATE,電器電纜,上市
1702,南僑投資控股股份有限公司,南僑,南僑投資控股股份有限公司|南僑|NAMCHOW,食品工業,上市
1707,葡萄王生技股份有限公司,葡萄王,葡萄王生技股份有限公司|葡萄王|GKB,生技醫療業,上市
1708,東南實業股份有限公司,東鹼,東南實業股份有限公司|東鹼|SESODA,化學工業,上市
1709,和益化學工業股份有限公司,和益,和益化學工業股份有限公司|和益|FUCC,化學工業,上市
1710,東聯化學股份有限公司,東聯,東聯化學股份有限公司|東聯|OUCC,化學工業,上市
1711,臺灣永光化學工業股份有限公司,永光,臺灣永光化學工業股份有限公司|永光|EVERLIGHT,化學工業,上市
1712,興農股份有限公司,興農,興農股份有限公司|興農|SINON,化學工業,上市
1713,國泰化工廠股份有限公司,國化,國泰化工廠股份有限公司|國化|CCW,化學工業,上市
1714,和桐化學股份有限公司,和桐,和桐化學股份有限公司|和桐|HO TUNG,化學工業,上市
1717,長興材料工業股份有限公司,長興,長興材料工業股份有限公司|長興|ETERNAL,化學工業,上市
1718,中國人造纖維股份有限公司,中纖,中國人造纖維股份有限公司|中纖|CMFC,化學工業,上市
1720,生達化學製藥股份有限公司,生達,生達化學製藥股份有限公司|生達|S.C.P.C,生技醫療業,上市
1721,國慶科技股份有限公司,三晃,國慶科技股份有限公司|三晃|SUNKO,化學工業,上市
1722,台灣肥料股份有限公司,台肥,台灣肥料股份有限公司|台肥|TFC,化學工業,上市
1723,中鋼碳素化學股份有限公司,中碳,中鋼碳素化學股份有限公司|中碳|CSCC,化學工業,上市
1725,元禎企業股份有限公司,元禎,元禎企業股份有限公司|元禎|YJE,化學工業,上市
1726,永記造漆工業股份有限公司,永記,永記造漆工業股份有限公司|永記|Y.C.P.,化學工業,上市
1727,臺灣中華化學工業股份有限公司,中華化,臺灣中華化學工業股份有限公司|中華化|CHCIW,化學工業,上市
1730,花仙子企業股份有限公司,花仙子,花仙子企業股份有限公司|花仙子|FARCENT,化學工業,上市
1731,美吾華股份有限公司,美吾華,美吾華股份有限公司|美吾華|Maywufa,生技醫療業,上市
1732,毛寶股份有限公司,毛寶,毛寶股份有限公司|毛寶|Mao Bao,化學工業,上市
1733,五鼎生物技術股份有限公司,五鼎,五鼎生物技術股份有限公司|五鼎|ApexBio,生技醫療業,上市
1734,杏輝藥品工業股份有限公司,杏輝,杏輝藥品工業股份有限公司|杏輝|SINPHAR,生技醫療業,上市
1735,日勝化工股份有限公司,日勝化,日勝化工股份有限公司|日勝化|EMC,化學工業,上市
1736,喬山健康科技股份有限公司,喬山,喬山健康科技股份有限公司|喬山|JHT,運動休閒,上市
1737,臺鹽實業股份有限公司,臺鹽,臺鹽實業股份有限公司|臺鹽|Taiyen,食品工業,上市
1742,台灣蠟品股份有限公司,台蠟,台灣蠟品股份有限公司|台蠟|TWC,化學工業,上櫃
1752,南光化學製藥股份有限公司,南光,南光化學製藥股份有限公司|南光|NANG KUANG,生技醫療業,上市
1760,寶齡富錦生技股份有限公司,寶齡富錦,寶齡富錦生技股份有限公司|寶齡富錦|PBF,生技醫療業,上市
1762,中化合成生技股份有限公司,中化生,中化合成生技股份有限公司|中化生|CCSB,生技醫療業,上市
1773,勝一化工股份有限公司,勝一,勝一化工股份有限公司|勝一|SHINY  CHEMICAL,化學工業,上市
1776,展宇科技材料股份有限公司,展宇,展宇科技材料股份有限公司|展宇|Headway,化學工業,上市
1777,生泰合成工業股份有限公司,生泰,生泰合成工業股份有限公司|生泰|SYN-TECH,生技醫療業,上櫃
1780,立弘生化科技股份有限公司,立弘,立弘生化科技股份有限公司|立弘|ABC,食品工業,上櫃
1781,合世生醫科技股份有限公司,合世,合世生醫科技股份有限公司|合世|H&L,生技醫療業,上櫃
1783,和康生物科技股份有限公司,和康生,和康生物科技股份有限公司|和康生|MBI,生技醫療業,上市
1784,訊聯生物科技股份有限公司,訊聯,訊聯生物科技股份有限公司|訊聯|BIONET CORP.,生技醫療業,上櫃
1785,光洋應用材料科技股份有限公司,光洋科,光洋應用材料科技股份有限公司|光洋科|Solar,其他電子業,上櫃
1786,科妍生物科技股份有限公司,科妍,科妍生物科技股份有限公司|科妍|SVBI,生技醫療業,上市
1788,杏昌生技股份有限公司,杏昌,杏昌生技股份有限公司|杏昌|HCI,生技醫療業,上櫃
1789,台灣神隆股份有限公司,神隆,台灣神隆股份有限公司|神隆|SPT,生技醫療業,上市
1795,美時化學製藥股份有限公司,美時,美時化學製藥股份有限公司|美時|Lotus Pharm,生技醫療業,上市
1796,金穎生物科技股份有限公司,金穎生技,金穎生物科技股份有限公司|金穎生技|GeneFerm,食品工業,上櫃
1799,易威生醫科技股份有限公司,易威,易威生醫科技股份有限公司|易威|EASYWELL,生技醫療業,上櫃
1802,台灣玻璃工業股份有限公司,台玻,台灣玻璃工業股份有限公司|台玻|TGI,玻璃陶瓷,上市
1805,寶徠建設股份有限公司,寶徠,寶徠建設股份有限公司|寶徠|BLG,建材營造,上市
1806,冠軍建材股份有限公司,冠軍,冠軍建材股份有限公司|冠軍|CHAMPION,玻璃陶瓷,上市
1808,潤隆建設股份有限公司,潤隆,潤隆建設股份有限公司|潤隆|RUN LONG,建材營造,上市
1809,中國製釉股份有限公司,中釉,中國製釉股份有限公司|中釉|China Glaze,玻璃陶瓷,上市
1810,和成欣業股份有限公司,和成,和成欣業股份有限公司|和成|HCG,玻璃陶瓷,上市
1813,寶利徠光學科技股份有限公司,寶利徠,寶利徠光學科技股份有限公司|寶利徠|Polylite,生技醫療業,上櫃
1815,富喬工業股份有限公司,富喬,富喬工業股份有限公司|富喬|FFG,電子零組件業,上櫃
1817,凱撒衛浴股份有限公司,凱撒衛,凱撒衛浴股份有限公司|凱撒衛|SANITAR,玻璃陶瓷,上市
1903,士林紙業股份有限公司,士紙,士林紙業股份有限公司|士紙|Shihlin Paper,造紙工業,上市
1904,正隆股份有限公司,正隆,正隆股份有限公司|正隆|Cheng Loong,造紙工業,上市
1905,中華紙漿股份有限公司,華紙,中華紙漿股份有限公司|華紙|CHP,造紙工業,上市
1906,寶隆國際股份有限公司,寶隆,寶隆國際股份有限公司|寶隆|Baolong Intl.,造紙工業,上市
1907,永豐餘投資控股股份有限公司,永豐餘,永豐餘投資控股股份有限公司|永豐餘|YFY,造紙工業,上市
1909,榮成紙業股份有限公司,榮成,榮成紙業股份有限公司|榮成|Longchen P&P,造紙工業,上市
2002,中國鋼鐵股份有限公司,中鋼,中國鋼鐵股份有限公司|中鋼|CSC,鋼鐵工業,上市
2006,東和鋼鐵企業股份有限公司,東和鋼鐵,東和鋼鐵企業股份有限公司|東和鋼鐵|Tung Ho Steel,鋼鐵工業,上市
2007,燁興企業股份有限公司,燁興,燁興企業股份有限公司|燁興|YH,鋼鐵工業,上市
2008,高興昌鋼鐵股份有限公司,高興昌,高興昌鋼鐵股份有限公司|高興昌|KHC,鋼鐵工業,上市
2009,第一伸銅科技股份有限公司,第一銅,第一伸銅科技股份有限公司|第一銅|FCC,鋼鐵工業,上市
2010,春源鋼鐵工業股份有限公司,春源,春源鋼鐵工業股份有限公司|春源|CHUN YUAN STEEL,鋼鐵工業,上市
2012,春雨工廠股份有限公司,春雨,春雨工廠股份有限公司|春雨|CHUN YU,鋼鐵工業,上市
2013,中國鋼鐵結構股份有限公司,中鋼構,中國鋼鐵結構股份有限公司|中鋼構|CSSC,鋼鐵工業,上市
2014,中鴻鋼鐵股份有限公司,中鴻,中鴻鋼鐵股份有限公司|中鴻|CHUNG HUNG,鋼鐵工業,上市
2015,豐興鋼鐵股份有限公司,豐興,豐興鋼鐵股份有限公司|豐興|FH,鋼鐵工業,上市
2017,官田鋼鐵股份有限公司,官田鋼,官田鋼鐵股份有限公司|官田鋼|Quintain Steel,鋼鐵工業,上市
2020,美亞鋼管廠股份有限公司,美亞,美亞鋼管廠股份有限公司|美亞|MAYER PIPE,鋼鐵工業,上市
